candidate,party,district,predicted_votes_in_2023_elections,predicted_elected,election_result,votes_in_2023_elections,age,sex
Kolmonen Petri,KESK,UUS,1202.5646,0,NOT_ELECTED,212,52,0
Saarniala Tea,KESK,UUS,1124.8796,0,NOT_ELECTED,153,50,1
Kurki Sanna,KESK,UUS,926.1194,0,NOT_ELECTED,439,49,1
Heinmurto Katri,KESK,UUS,867.4121,0,NOT_ELECTED,836,49,1
Forsang Georgiana,KESK,UUS,838.8882,0,NOT_ELECTED,143,39,1
Suhonen Otto,KESK,UUS,835.80817,0,NOT_ELECTED,431,21,0
Halkosaari Tommi,KESK,UUS,719.21027,0,NOT_ELECTED,204,31,0
Suihkonen Tuomo,KESK,UUS,667.4366,0,NOT_ELECTED,311,49,0
Haapamäki Jaakko,KESK,UUS,633.2103,0,NOT_ELECTED,432,50,0
Paakkunainen Lotta,KESK,UUS,555.1835,0,NOT_ELECTED,327,49,1
Heikkilä Antti,KESK,UUS,474.75558,0,NOT_ELECTED,1350,44,0
Lahtela Johannes,KESK,UUS,467.5912,0,NOT_ELECTED,151,47,0
Pauloaho Nina,KESK,UUS,442.79126,0,NOT_ELECTED,564,29,1
Karadag Nejdet,KESK,UUS,423.0034,0,NOT_ELECTED,137,44,0
Paloniemi Merja,KESK,UUS,403.45874,0,NOT_ELECTED,58,62,1
Nieminen Tea,KESK,UUS,398.27435,0,NOT_ELECTED,242,42,1
Oinonen Lauri,KESK,UUS,394.00098,0,NOT_ELECTED,60,75,0
Wasström Maritta,KESK,UUS,337.09842,0,NOT_ELECTED,314,49,1
Kajan Venla,KESK,UUS,334.5539,0,NOT_ELECTED,49,24,1
Lehto Anne,KESK,UUS,315.8904,0,NOT_ELECTED,392,48,1
Jääskeläinen Pietari,KESK,UUS,315.2799,0,NOT_ELECTED,219,75,0
Vilkman Jenny,KESK,UUS,305.43958,0,NOT_ELECTED,181,29,1
Laine Joonatan,KESK,UUS,294.70935,0,NOT_ELECTED,53,29,0
Hyvönen Naomy,KESK,UUS,290.2136,0,NOT_ELECTED,72,45,1
Salmi Satu,KESK,UUS,273.38223,0,NOT_ELECTED,87,37,1
Kuotesaho Markus,KESK,UUS,268.5213,0,NOT_ELECTED,172,63,0
Ollila Matias,KESK,UUS,255.81781,0,NOT_ELECTED,161,40,0
Huhtaluoma Timo,KESK,UUS,253.21466,0,NOT_ELECTED,91,72,0
Lönnqvist Jukka,KESK,UUS,247.14781,0,NOT_ELECTED,64,59,0
Bäckström Niklas,KESK,UUS,232.05241,0,NOT_ELECTED,125,36,0
Poutala Mika,KD,UUS,3588.5955,1,ELECTED,4883,39,0
Tuomela Tiina,KD,UUS,2514.2598,1,NOT_ELECTED,1369,62,1
Järvenpää Kaarina,KD,UUS,1119.5728,0,NOT_ELECTED,1011,70,1
Jääskeläinen Jouko,KD,UUS,1077.1354,0,NOT_ELECTED,835,71,0
Taupila Reija,KD,UUS,866.7227,0,NOT_ELECTED,663,47,1
Kaartokallio Loviisa,KD,UUS,782.2562,0,NOT_ELECTED,727,44,1
Mönttinen Ari,KD,UUS,692.05945,0,ON_SUBSTITUTE_PLACE,1472,64,0
Axberg Jan,KD,UUS,571.7431,0,NOT_ELECTED,239,52,0
Arlin Tiina,KD,UUS,478.81122,0,NOT_ELECTED,220,58,1
Brandão Annamari,KD,UUS,473.00592,0,NOT_ELECTED,752,43,1
Koivula Susanna,KD,UUS,393.79755,0,NOT_ELECTED,374,37,1
Rönkkö Pentti,KD,UUS,361.67047,0,NOT_ELECTED,312,65,0
Kuula Ina,KD,UUS,354.8204,0,NOT_ELECTED,322,60,1
Drotár Kristiina,KD,UUS,343.6055,0,NOT_ELECTED,128,69,1
Palokangas Jukka,KD,UUS,333.54382,0,NOT_ELECTED,1395,59,0
Ambrosin Irina,KD,UUS,317.82666,0,NOT_ELECTED,114,50,1
Surakka Jorma,KD,UUS,224.21132,0,NOT_ELECTED,146,63,0
Tallqvist Jan,KD,UUS,214.55833,0,NOT_ELECTED,172,54,0
Sinkkonen Tiina,KD,UUS,198.50578,0,NOT_ELECTED,349,62,1
Lehtonen Mila,KD,UUS,192.17627,0,NOT_ELECTED,1271,50,1
Tuohioja Pauli,KD,UUS,190.49165,0,NOT_ELECTED,121,75,0
Ijäs Pekka,KD,UUS,175.54994,0,NOT_ELECTED,473,50,0
Malmi Juha,KD,UUS,173.73627,0,NOT_ELECTED,106,59,0
Pohjonen Kauko,KD,UUS,171.63419,0,NOT_ELECTED,86,28,0
Anttila Kaisa,KD,UUS,165.09193,0,NOT_ELECTED,269,45,1
Välkepinta Sonja,KD,UUS,159.22269,0,NOT_ELECTED,145,48,1
Remes John,KD,UUS,158.27957,0,NOT_ELECTED,166,69,0
Hallikainen Linda,KD,UUS,153.45262,0,NOT_ELECTED,189,34,1
Räsänen Niklas,KD,UUS,151.64996,0,NOT_ELECTED,141,36,0
Åkerlund Valfrid,KD,UUS,150.33067,0,NOT_ELECTED,208,67,0
Metsämuuronen Jari,KD,UUS,147.55634,0,NOT_ELECTED,109,60,0
Kumpulainen Kitti,KD,UUS,135.20569,0,NOT_ELECTED,107,59,1
Silventoinen Eemil,KD,UUS,127.37311,0,NOT_ELECTED,74,20,0
Mcdonald Outi,KD,UUS,120.20248,0,NOT_ELECTED,291,66,1
Vuorinen Kristiina,KD,UUS,115.2511,0,NOT_ELECTED,253,60,1
Sarjala Marja-Leena,KD,UUS,110.36981,0,NOT_ELECTED,90,63,1
Jääskeläinen Arto,KD,UUS,103.46664,0,NOT_ELECTED,135,67,0
Lahtinen Ari,KAL,UUS,125.394196,0,NOT_ELECTED,58,47,0
Partanen Eeva,FP,UUS,191.64207,0,NOT_ELECTED,88,41,1
Hosio Annica,FP,UUS,183.09108,0,NOT_ELECTED,86,25,1
Hosio Ada,FP,UUS,152.98888,0,NOT_ELECTED,155,27,1
Kerttula Suvi,FP,UUS,127.56981,0,NOT_ELECTED,76,46,1
Chanth Tatu,EOP,UUS,261.27176,0,NOT_ELECTED,70,45,0
Chanth Marianne,EOP,UUS,243.04298,0,NOT_ELECTED,250,45,1
Alastalo Marko,EOP,UUS,144.02292,0,NOT_ELECTED,209,51,0
Niinisalo Kari,EOP,UUS,141.18742,0,NOT_ELECTED,244,56,0
Mäkinen Tomi,E486,UUS,107.09148,0,NOT_ELECTED,75,29,0
Johansson Birgitta,E485,UUS,272.14252,0,NOT_ELECTED,267,57,1
Tarmo Eero,VL,VAR,857.3655,0,NOT_ELECTED,287,33,0
Pitkänen Tarja,VL,VAR,196.53996,0,NOT_ELECTED,104,70,1
Laine Ville,VL,VAR,174.2054,0,NOT_ELECTED,126,45,0
Tammi Niina,VL,VAR,154.39252,0,NOT_ELECTED,68,59,1
Nyström Moona,VL,VAR,134.10707,0,NOT_ELECTED,248,34,1
Sihvonen Marko,VL,VAR,133.82892,0,NOT_ELECTED,167,54,0
Kauppi Teuvo,VL,VAR,130.82909,1,NOT_ELECTED,361,40,0
Evstifeeva-Auraniemi Larisa,VL,VAR,128.91046,0,NOT_ELECTED,61,57,1
Kankaristo Jussi,VL,VAR,123.17306,0,NOT_ELECTED,137,69,0
Hinkkanen Janne,VL,VAR,119.36923,0,NOT_ELECTED,17,26,0
Ben-David Michel,VL,VAR,116.50473,0,NOT_ELECTED,42,51,0
Saarela Lauri,VL,VAR,109.36828,0,NOT_ELECTED,323,55,0
Kuusinen Anne,VL,VAR,97.67744,0,NOT_ELECTED,64,62,1
Mandell Marjo,VL,VAR,95.69483,0,NOT_ELECTED,64,64,1
Aaltonen Jouni,VL,VAR,93.51925,0,NOT_ELECTED,107,64,0
Kattelus Marja,VKK,VAR,166.6535,0,NOT_ELECTED,88,36,1
Simberg Tami,VKK,VAR,151.68462,0,NOT_ELECTED,21,50,0
Salonen Karita,VKK,VAR,136.00452,0,NOT_ELECTED,100,54,1
Palmroth Lisbeth,VKK,VAR,134.10707,0,NOT_ELECTED,47,34,1
Honkonen Juhani,VKK,VAR,131.93147,0,NOT_ELECTED,49,39,0
Rågel Susanna,VKK,VAR,118.68032,0,NOT_ELECTED,55,51,1
Honkasalo Teppo,VKK,VAR,116.54291,0,NOT_ELECTED,52,58,0
Voimanen Hannu,VKK,VAR,115.09825,0,NOT_ELECTED,41,68,1
Dahl Rauli,VKK,VAR,113.32988,0,NOT_ELECTED,49,72,0
Koivunen Kai-Tom,VKK,VAR,99.39901,0,NOT_ELECTED,21,54,0
Miettinen Jouko,VKK,VAR,83.42593,0,NOT_ELECTED,43,70,0
Aaltola Elisa,VIHR,VAR,6736.5405,1,ON_SUBSTITUTE_PLACE,4749,47,1
Virta Sofia,VIHR,VAR,4241.541,1,ELECTED,5533,32,1
Puro Jukka-Pekka,VIHR,VAR,2959.651,0,NOT_ELECTED,279,54,0
Lumme Riina,VIHR,VAR,2515.845,0,NOT_ELECTED,1006,30,1
Lindberg Essi,VIHR,VAR,924.15015,0,NOT_ELECTED,1019,41,1
Nera Selinä,VIHR,VAR,783.24365,0,NOT_ELECTED,460,22,1
Salonen Mirva,VIHR,VAR,638.4775,0,NOT_ELECTED,300,48,1
Epse Samfoga Doh Bilola Theresia,VIHR,VAR,579.2946,0,NOT_ELECTED,391,40,1
Aaltonen Heidi,VIHR,VAR,575.34607,0,NOT_ELECTED,905,39,1
Foster Oona,VIHR,VAR,511.95615,0,NOT_ELECTED,651,26,1
Porramo Saija,VIHR,VAR,501.56757,0,NOT_ELECTED,418,46,1
Käkönen Rami,VIHR,VAR,452.17395,0,NOT_ELECTED,229,52,0
Sundell Ulriika,VIHR,VAR,406.54105,1,NOT_ELECTED,440,40,1
Koivu Janna-Riia,VIHR,VAR,390.3044,0,NOT_ELECTED,313,32,1
Ahonen Rene,VIHR,VAR,389.63928,0,NOT_ELECTED,612,22,0
Lehti Pasi,VIHR,VAR,365.10403,0,NOT_ELECTED,144,67,0
Wahlsten Aliisa,VIHR,VAR,341.3533,1,NOT_ELECTED,1962,26,1
Andersson Li,VAS,VAR,13078.792,1,ELECTED,18007,35,1
Yrttiaho Johannes,VAS,VAR,4676.7285,1,ON_SUBSTITUTE_PLACE,1630,43,0
Furuholm Timo,VAS,VAR,4313.344,1,ELECTED,3997,35,0
Laaksonen Lotta,VAS,VAR,2333.6106,1,NOT_ELECTED,1155,45,1
Koiranen Sara,VAS,VAR,1222.3849,0,NOT_ELECTED,1007,28,1
Lindqvist Emma,VAS,VAR,1198.9323,1,NOT_ELECTED,856,35,1
Uusitalo-Heikkinen Mervi,VAS,VAR,1153.8966,0,NOT_ELECTED,277,51,1
Koivisto Maarit,VAS,VAR,967.6372,1,NOT_ELECTED,1023,37,1
Lähteenmäki Timo,VAS,VAR,923.9687,0,NOT_ELECTED,655,62,0
Sultan Abdullahi,VAS,VAR,915.3538,0,NOT_ELECTED,608,43,0
Kapanen Katri,VAS,VAR,719.0743,0,NOT_ELECTED,445,42,1
Päätalo Jenni,VAS,VAR,594.70233,0,NOT_ELECTED,392,44,1
Diop Paco,VAS,VAR,450.67792,0,NOT_ELECTED,768,38,0
Andersson Emma,VAS,VAR,382.1571,0,NOT_ELECTED,821,26,1
Rantanen Reima,VAS,VAR,330.28836,0,NOT_ELECTED,260,61,0
Ervasti Martti,VAS,VAR,314.25916,0,NOT_ELECTED,171,43,0
Silvonen Jarno,VAS,VAR,287.45602,0,NOT_ELECTED,136,32,0
Mourujärvi Tommi,SML,VAR,643.6113,0,NOT_ELECTED,6,36,0
Kulmala Kari,SML,VAR,520.7603,0,NOT_ELECTED,10,57,0
Kulmala Kari,SML,VAR,520.7603,0,NOT_ELECTED,10,57,0
Rumpunen Timo,SML,VAR,191.99612,0,NOT_ELECTED,11,34,0
Ojala Milka,SML,VAR,171.09056,0,NOT_ELECTED,37,29,1
Virtanen Markus,SML,VAR,140.33113,0,NOT_ELECTED,17,34,0
Kivisaari Antero,SML,VAR,140.02788,0,NOT_ELECTED,46,22,0
Mourujärvi Taika,SML,VAR,134.10707,0,NOT_ELECTED,37,39,1
Kaila Pauli,SML,VAR,131.93147,0,NOT_ELECTED,23,35,0
Henninen Marja-Terttu,SML,VAR,130.864,0,NOT_ELECTED,14,43,1
Henninen Jarno,SML,VAR,125.394196,0,NOT_ELECTED,11,45,0
Virtanen Julia,SML,VAR,121.54482,0,NOT_ELECTED,4,28,1
Heimola Patrik,SML,VAR,119.36923,0,NOT_ELECTED,34,24,0
Nurmela Ville,SML,VAR,119.36923,0,NOT_ELECTED,27,29,0
Nieminen Roni,SML,VAR,119.36923,0,NOT_ELECTED,19,22,0
Välimäki Joona,SML,VAR,119.36923,0,NOT_ELECTED,11,19,0
Tuominen Veini,SML,VAR,119.36923,0,NOT_ELECTED,4,26,0
Nieminen Kim,SML,VAR,114.42453,0,NOT_ELECTED,15,53,0
Koponen Juuso,SKP,VAR,131.93147,0,NOT_ELECTED,52,36,0
Mettälä Lassi,SKP,VAR,77.74316,0,NOT_ELECTED,57,72,0
Lindén Aki,SDP,VAR,9841.482,1,ELECTED,9272,70,0
Eloranta Eeva-Johanna,SDP,VAR,5899.4785,1,ELECTED,8496,57,1
Nikkanen Saku,SDP,VAR,4922.481,1,ELECTED,5808,46,0
Laulumaa Janne,SDP,VAR,4439.339,1,NOT_ELECTED,1859,46,0
Alho Niina,SDP,VAR,4179.3477,1,ON_SUBSTITUTE_PLACE,4747,40,1
Maaskola Mika,SDP,VAR,3032.424,1,NOT_ELECTED,2557,56,0
Elo Piia,SDP,VAR,2454.1545,1,NOT_ELECTED,3192,45,1
Seila Viivu,SDP,VAR,1923.7009,1,NOT_ELECTED,1421,25,1
Lahti Mari,SDP,VAR,1758.9606,1,NOT_ELECTED,1819,45,1
Korhonen Ari,SDP,VAR,1539.6681,1,NOT_ELECTED,2073,50,0
Tamminen Timo,SDP,VAR,1520.9978,0,NOT_ELECTED,1185,53,0
Laakso Maaret,SDP,VAR,1143.2706,0,NOT_ELECTED,988,65,1
Mäkeläinen Erika,SDP,VAR,933.0201,1,NOT_ELECTED,2654,38,1
Grönroos Leif,SDP,VAR,816.9836,0,NOT_ELECTED,653,59,0
Piippo Niina,SDP,VAR,756.4267,1,NOT_ELECTED,1216,42,1
Laurén Heli-Päivikki,SDP,VAR,727.0613,1,NOT_ELECTED,1769,55,1
Kuuskorpi Miku,SDP,VAR,609.11334,0,NOT_ELECTED,834,22,0
Bergqvist Sandra,RKP,VAR,4794.4165,1,ELECTED,6771,42,1
Vörlund-Wallenius Terhi,RKP,VAR,2348.3909,0,NOT_ELECTED,511,58,1
"Granberg Gunilla ""Gilla""",RKP,VAR,1235.6793,0,NOT_ELECTED,325,61,1
Tötterman Anna-Karin,RKP,VAR,1228.0121,0,NOT_ELECTED,204,44,1
Gustafsson Åsa,RKP,VAR,1146.2238,0,NOT_ELECTED,511,48,1
Leino Katariina,RKP,VAR,1059.8431,0,NOT_ELECTED,200,31,1
Björkroth Tomas,RKP,VAR,960.6319,0,NOT_ELECTED,251,52,0
Guseff Niklas,RKP,VAR,847.173,1,ON_SUBSTITUTE_PLACE,2160,48,0
Byman Oscar,RKP,VAR,844.4095,0,NOT_ELECTED,896,26,0
Blomquist Markus,RKP,VAR,752.13873,0,NOT_ELECTED,322,51,0
Granroth Veera,RKP,VAR,717.0926,0,NOT_ELECTED,407,24,1
Wennström Kjell,RKP,VAR,546.756,0,NOT_ELECTED,178,71,0
"Eriksson Jan ""Bambu""",RKP,VAR,379.0191,0,NOT_ELECTED,279,53,0
Björkqvist Jerker,RKP,VAR,356.41077,0,NOT_ELECTED,319,52,0
Schauman Filip,RKP,VAR,301.90005,0,NOT_ELECTED,166,19,0
Sonntag-Wilenius Camilla,RKP,VAR,258.65088,0,NOT_ELECTED,184,51,1
Wallin Julie,RKP,VAR,253.81628,0,NOT_ELECTED,101,23,1
Tavio Ville,PS,VAR,14482.038,1,ELECTED,15071,38,0
Junnila Vilhelm,PS,VAR,9413.916,1,ELECTED,8303,41,0
"Elomaa Ritva ""Kike""",PS,VAR,6600.026,1,ELECTED,6805,67,1
Lundén Mikko,PS,VAR,4937.8994,1,ELECTED,5301,43,0
Paasikivi Sanna,PS,VAR,3348.9456,0,NOT_ELECTED,1037,55,1
Anttila Juha,PS,VAR,3319.542,1,ON_SUBSTITUTE_PLACE,2658,58,0
Taavitsainen Mikko,PS,VAR,2101.5312,1,NOT_ELECTED,1495,46,0
Girs Alice,PS,VAR,1577.9579,0,NOT_ELECTED,2184,32,1
Koski Silvia,PS,VAR,1475.0562,0,NOT_ELECTED,2172,43,1
Heikkilä Lauri,PS,VAR,1265.8606,1,NOT_ELECTED,1078,65,0
Kangasoja Mikko,PS,VAR,1224.4415,0,NOT_ELECTED,1767,46,0
Ylis-Junttila Markus,PS,VAR,1175.8995,1,NOT_ELECTED,1119,51,0
Pohjankukka Tomi,PS,VAR,1147.0166,0,NOT_ELECTED,1167,46,0
Peltonen Sini,PS,VAR,800.996,1,NOT_ELECTED,913,40,1
Kurki Kirsti,PS,VAR,800.18146,0,NOT_ELECTED,1245,54,1
Söderström Satu,PS,VAR,765.6184,0,NOT_ELECTED,1612,43,1
Agge Markku,PS,VAR,727.46387,1,NOT_ELECTED,1778,63,0
Nummenpalo Mika,LIIK,VAR,493.33148,0,NOT_ELECTED,228,54,0
Riski Laura,LIIK,VAR,253.1012,0,NOT_ELECTED,935,43,1
Susi Jyrki,LIIK,VAR,246.09837,0,NOT_ELECTED,485,47,0
Kanerva Tero,LIIK,VAR,219.0619,0,NOT_ELECTED,405,47,0
Olenius Heikki,LIIK,VAR,207.25612,0,NOT_ELECTED,293,52,0
Wallinkoski Jarkko,LIIK,VAR,190.45126,0,NOT_ELECTED,511,43,0
Uutela Mia,LIIK,VAR,179.70657,0,NOT_ELECTED,420,39,1
Paananen Satu,LIIK,VAR,172.06694,0,NOT_ELECTED,552,45,1
Saari Mika,LIIK,VAR,171.36667,0,NOT_ELECTED,438,47,0
Jouhilampi Tomas,LIIK,VAR,165.3417,0,NOT_ELECTED,673,26,0
Sirén Dennis,LIIK,VAR,152.44962,0,NOT_ELECTED,38,55,0
Huhtala Nico,LIIK,VAR,141.3536,0,NOT_ELECTED,698,31,0
Korhonen Toni,LIIK,VAR,138.82019,0,NOT_ELECTED,220,47,0
Niemi Susanna,LIIK,VAR,129.79158,0,NOT_ELECTED,266,56,1
Mitikka Mika,LIIK,VAR,127.98892,0,NOT_ELECTED,59,55,0
Tunturi Mika,LIIK,VAR,122.418724,0,NOT_ELECTED,167,57,0
Palinsaari Paula,LIIK,VAR,115.46634,0,NOT_ELECTED,150,65,1
Mäkinen Mikko,LIBE,VAR,213.28914,0,NOT_ELECTED,115,42,0
Saarela Pyry,LIBE,VAR,200.72685,0,NOT_ELECTED,97,28,0
Lehtimäki Sami,LIBE,VAR,186.20198,0,NOT_ELECTED,109,46,0
Paasonen Juha,LIBE,VAR,164.08588,0,NOT_ELECTED,71,51,0
Hietala Tomi,LIBE,VAR,159.99701,0,NOT_ELECTED,168,44,0
Kähkönen Anssi,LIBE,VAR,153.65558,0,NOT_ELECTED,95,46,0
Kovaleff Jalmari,LIBE,VAR,151.91565,0,NOT_ELECTED,40,25,0
Hyttinen Sami,LIBE,VAR,138.50441,0,NOT_ELECTED,308,30,0
Kuusama Juha,LIBE,VAR,132.7034,0,NOT_ELECTED,87,63,0
Kankaanpää Ismo,LIBE,VAR,104.45526,0,NOT_ELECTED,73,53,0
Mäki Sebastian,LIBE,VAR,-38.44785,0,NOT_ELECTED,52,40,0
Nylund Irena,KRIP,VAR,170.84789,0,NOT_ELECTED,369,50,1
Orpo Petteri,KOK,VAR,12618.142,1,ELECTED,17432,53,0
Virolainen Anne-Mari,KOK,VAR,6242.534,1,ON_SUBSTITUTE_PLACE,4334,57,1
Valkonen Ville,KOK,VAR,6158.0396,1,ELECTED,5732,35,0
Sirén Saara-Sofia,KOK,VAR,5859.5645,1,ELECTED,6679,36,1
Takatalo Janika,KOK,VAR,5569.2017,1,NOT_ELECTED,3200,30,1
Forsblom Toni,KOK,VAR,4982.6533,1,NOT_ELECTED,2986,45,0
Aalto-Setälä Pauli,KOK,VAR,4723.635,1,ELECTED,7241,56,0
Ruohonen Sini,KOK,VAR,3061.7634,0,NOT_ELECTED,1437,38,1
Hemmilä Pertti,KOK,VAR,1957.3427,1,NOT_ELECTED,3624,67,0
Euro Alvar,KOK,VAR,1935.7726,1,NOT_ELECTED,848,24,0
Beqiri Sadri,KOK,VAR,1587.3274,0,NOT_ELECTED,540,47,0
Pitkänen Sanna,KOK,VAR,1403.2125,1,NOT_ELECTED,1890,48,1
Lahdenperä Milla,KOK,VAR,1212.0579,1,ELECTED,4527,48,1
Savolainen Jukka,KOK,VAR,1103.4296,0,NOT_ELECTED,772,61,0
Turunen Siiri,KOK,VAR,1100.9081,0,NOT_ELECTED,519,23,1
Tiusanen Teija,KOK,VAR,905.464,0,NOT_ELECTED,812,61,1
Aaltonen Anu,KOK,VAR,877.5462,0,NOT_ELECTED,1606,54,1
Saarikko Annika,KESK,VAR,9233.018,1,ELECTED,8572,39,1
Kurvinen Jani,KESK,VAR,2943.1392,1,NOT_ELECTED,2918,50,0
Riski Johanna,KESK,VAR,1796.8079,1,NOT_ELECTED,2121,51,1
Tanila-Järvinen Reetta,KESK,VAR,1280.272,0,NOT_ELECTED,1044,46,1
Takatalo Henna,KESK,VAR,866.01544,0,NOT_ELECTED,1004,30,1
Ruusunen Mimmi,KESK,VAR,700.74457,0,NOT_ELECTED,1317,38,1
Helin Perttu,KESK,VAR,650.2312,0,NOT_ELECTED,651,44,0
Karjalainen Riitta,KESK,VAR,585.8835,0,NOT_ELECTED,253,63,1
Kontu Mauri,KESK,VAR,487.06607,1,ON_SUBSTITUTE_PLACE,3468,70,0
Vuorinen Anu,KESK,VAR,413.584,0,NOT_ELECTED,306,49,1
Vuolle Mikko,KESK,VAR,399.34677,0,NOT_ELECTED,343,23,0
Aalto Olli-Pekka,KESK,VAR,385.43286,1,NOT_ELECTED,365,41,0
Lappalainen Jonna,KESK,VAR,328.18625,0,NOT_ELECTED,265,46,1
Lehmus Anniina,KESK,VAR,318.12476,0,NOT_ELECTED,211,25,1
Airikki Antti,KESK,VAR,293.7647,0,NOT_ELECTED,182,59,0
Pilpola Ilkka,KESK,VAR,285.37097,0,NOT_ELECTED,224,47,0
Jantunen Olavi,KESK,VAR,236.85876,0,NOT_ELECTED,182,61,0
Auvinen Ville,KD,VAR,942.2228,0,NOT_ELECTED,1059,57,0
Terä Tommi,KD,VAR,701.53687,0,NOT_ELECTED,382,34,0
Shelby Jaana,KD,VAR,386.64786,0,NOT_ELECTED,196,63,1
Stenberg Aleksi,KD,VAR,270.62088,1,NOT_ELECTED,528,33,0
Hiippavuori Katriina,KD,VAR,190.81279,1,NOT_ELECTED,3495,37,1
Kaartinen Pirkko,KD,VAR,189.12209,0,NOT_ELECTED,142,73,1
Anolin Reima,KD,VAR,175.43448,0,NOT_ELECTED,156,31,0
Kivimäki Wilders Michelle,KD,VAR,166.04198,0,NOT_ELECTED,83,28,1
Sjöholm Mirja-Riitta,KD,VAR,165.67352,0,NOT_ELECTED,276,49,1
Ratilainen Mika,KD,VAR,163.40654,0,NOT_ELECTED,98,50,0
Westergård Jonathan,KD,VAR,138.82019,0,NOT_ELECTED,283,46,0
Salonen Pekka,KD,VAR,138.82019,0,NOT_ELECTED,73,45,0
Kemppainen Sirkku,KD,VAR,131.98901,0,NOT_ELECTED,369,53,1
Hietanen Marika,KD,VAR,129.79158,0,NOT_ELECTED,295,54,1
Ursin Jani,KD,VAR,128.66626,0,NOT_ELECTED,123,48,0
Riuttaskorpi Antti,KD,VAR,112.107346,0,NOT_ELECTED,220,77,0
Kaarma Arto,KD,VAR,112.107346,0,NOT_ELECTED,83,82,0
Puttonen Anne Birgitta,EOP,VAR,238.26035,0,NOT_ELECTED,94,51,1
Vaihinen Sari,EOP,VAR,127.56981,0,NOT_ELECTED,114,46,1
Pesch Tom,EOP,VAR,105.51271,0,NOT_ELECTED,100,43,0
Suominen Voitto,E215,VAR,83.42593,0,NOT_ELECTED,47,69,0
Valtanen Niina,VL,SAT,247.11928,0,NOT_ELECTED,445,53,1
Lind Mikael,VL,SAT,181.69301,1,NOT_ELECTED,91,40,0
Mellberg Marko,VL,SAT,178.8686,0,NOT_ELECTED,336,50,0
Mörsky Santeri,VL,SAT,148.58632,1,NOT_ELECTED,181,31,0
Metsomäki Maria,VL,SAT,134.10707,0,NOT_ELECTED,99,37,1
Vainiomäki Juha,VL,SAT,131.93147,0,NOT_ELECTED,52,42,0
Ketola Antti,VL,SAT,131.93147,0,NOT_ELECTED,45,41,0
Suomela Antti,VL,SAT,126.48467,0,NOT_ELECTED,118,51,0
Leino Kimmo,VL,SAT,109.36828,0,NOT_ELECTED,85,55,0
Troberg Minna,VKK,SAT,126.21571,1,NOT_ELECTED,95,49,1
Hakala Olli,VKK,SAT,100.890335,0,NOT_ELECTED,151,58,0
Pullinen Laura,VIHR,SAT,1338.6478,1,NOT_ELECTED,923,30,1
Thorström Tarmo,VIHR,SAT,1281.1199,0,NOT_ELECTED,251,39,0
Liljegren Julia,VIHR,SAT,618.5504,0,NOT_ELECTED,342,19,1
Weber Jenni,VIHR,SAT,434.73392,0,NOT_ELECTED,247,41,1
Hulmi Reetta,VIHR,SAT,346.23962,0,NOT_ELECTED,333,40,1
Elomaa Irmeli,VIHR,SAT,316.8361,0,NOT_ELECTED,234,73,1
Väre Pyry,VIHR,SAT,297.63474,0,NOT_ELECTED,167,30,0
Raula Kristiina,VIHR,SAT,279.43326,0,NOT_ELECTED,297,28,1
Nummelin Tommi,VIHR,SAT,277.7688,0,NOT_ELECTED,58,36,0
Santala Jarkko,VIHR,SAT,260.1337,0,NOT_ELECTED,77,44,0
Välikangas Henri,VIHR,SAT,248.69655,1,NOT_ELECTED,142,30,0
Vaarala Juha-Pekka,VIHR,SAT,246.47026,0,NOT_ELECTED,64,45,0
Siivonen Riikka,VIHR,SAT,231.11119,0,NOT_ELECTED,41,27,1
Flinkman Henry,VIHR,SAT,200.19897,0,NOT_ELECTED,59,57,0
Ranta Raisa,VAS,SAT,4479.7104,1,NOT_ELECTED,4267,44,1
Hatakka Lotta,VAS,SAT,676.39264,0,NOT_ELECTED,672,42,1
Tommila Milka,VAS,SAT,660.22644,1,NOT_ELECTED,832,46,1
Salminen Petri,VAS,SAT,655.42084,0,NOT_ELECTED,522,59,0
Aho Mika,VAS,SAT,585.89215,0,NOT_ELECTED,545,44,0
Virtanen Rami,VAS,SAT,573.3836,0,NOT_ELECTED,341,37,0
Jäntti Jenni,VAS,SAT,459.17596,1,NOT_ELECTED,413,28,1
Rantala Eero,VAS,SAT,419.4605,1,NOT_ELECTED,823,36,0
Kaunisto Mikko,VAS,SAT,417.2705,0,NOT_ELECTED,197,46,0
Jäntti Jaakko,VAS,SAT,381.41083,1,NOT_ELECTED,323,53,0
Hannula Saana,VAS,SAT,374.69333,1,NOT_ELECTED,342,28,1
Heinonen Jukka,VAS,SAT,325.51266,0,NOT_ELECTED,178,66,0
Nylander Sanna,VAS,SAT,307.0686,0,NOT_ELECTED,207,44,1
Koivisto Janne,VAS,SAT,306.3819,0,NOT_ELECTED,241,40,0
Vilén Jere,SKE,SAT,119.36923,0,NOT_ELECTED,40,22,0
Kiuru Krista,SDP,SAT,9992.548,1,ELECTED,7861,48,1
Viljanen Heidi,SDP,SAT,3942.3582,1,ON_SUBSTITUTE_PLACE,4146,42,1
Reunanen Ari,SDP,SAT,2454.3079,1,NOT_ELECTED,2945,38,0
Viitasaari Sami,SDP,SAT,1550.1644,1,NOT_ELECTED,1049,43,0
Seimelä Sari,SDP,SAT,1310.4998,1,NOT_ELECTED,1395,56,1
Viitala Juha,SDP,SAT,1301.9818,1,ELECTED,4238,46,0
